dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image107_0.png,26.165144,0.91205186,0.956978,0.87795067,0.3772962,,0.065186754,0.06996175,0.5286122,,,5.5367637,84.37128,0.24741662
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image108_0.png,26.091917,0.90581274,0.9567143,0.8750561,0.36364093,,0.06575318,0.07077376,0.5207562,,,5.5691442,84.45331,0.28546554
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image109_0.png,26.081364,0.9085575,0.9568837,0.874437,0.3533522,,0.06602081,0.07112728,0.5151663,,,5.601844,83.24432,0.2538556
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image11_0.png,24.870176,0.7952773,0.9146005,0.7440395,0.23361026,,0.122293934,0.1254908,0.35823596,,,6.398238,79.37518,0.24168421
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image110_0.png,26.08891,0.9082792,0.95759004,0.8731267,0.36991373,,0.06637396,0.0714078,0.50669986,,,5.6695237,83.53778,0.29682443
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image111_0.png,26.214611,0.90495145,0.95816386,0.87511855,0.36748064,,0.06647989,0.07148208,0.50731015,,,5.7207327,82.60614,0.29025754
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image112_0.png,26.206013,0.8931107,0.9570549,0.87373894,0.3438017,,0.06700411,0.072193585,0.503849,,,5.781761,82.43475,0.3288169
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image113_0.png,26.193445,0.87489146,0.9553922,0.86966205,0.34000155,,0.067831054,0.07348368,0.49740928,,,5.8553658,82.22772,0.31188065
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image114_0.png,26.299551,0.8638885,0.95446795,0.87145495,0.33251005,,0.06738816,0.07344656,0.5046644,,,5.925829,81.6369,0.3037274
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image115_0.png,26.373491,0.8662579,0.95328975,0.87270087,0.3326999,,0.06652321,0.072778605,0.5118327,,,5.896442,81.27948,0.2682791
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image116_0.png,26.460306,0.86564934,0.9529132,0.8725408,0.3307043,,0.06793774,0.074216485,0.50509405,,,6.019335,80.8078,0.28341597
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image117_0.png,26.19635,0.8288006,0.9503541,0.86299163,0.31273335,,0.06946732,0.076168,0.49499598,,,5.9460087,82.46063,0.25806624
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image118_0.png,26.330822,0.83970934,0.9511279,0.86373997,0.30267364,,0.07003717,0.07666203,0.4896106,,,6.047304,82.70819,0.25843015
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image119_0.png,25.991125,0.7980514,0.9482501,0.85068095,0.2736082,,0.07098253,0.07761515,0.47274485,,,5.923415,83.89081,0.2703606
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image12_0.png,24.00013,0.7670631,0.9139214,0.7335891,0.21499401,,0.122297496,0.1263504,0.35373032,,,5.8907547,79.51337,0.20418657
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image120_0.png,26.204624,0.79743534,0.94571227,0.8488151,0.29320282,,0.07175864,0.07891406,0.47240338,,,6.109458,86.06903,0.23592639
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image121_0.png,26.056444,0.77581716,0.9436652,0.8376068,0.29487053,,0.07162008,0.07880587,0.46667242,,,6.0176406,90.45526,0.25163978
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image122_0.png,26.001698,0.75431556,0.9466969,0.83737016,0.2918373,,0.0683117,0.07526383,0.47306842,,,5.9108796,91.60077,0.29958203
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image123_0.png,26.142994,0.77600247,0.9483006,0.83699614,0.31653905,,0.06667165,0.073157325,0.4785573,,,5.9709873,93.99823,0.30626884
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image124_0.png,26.202995,0.788254,0.9519533,0.8369137,0.31031454,,0.06530998,0.071475655,0.47750208,,,5.9557385,92.92352,0.30404532
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image125_0.png,26.425829,0.81623423,0.9574558,0.85111415,0.32517326,,0.06322236,0.06786034,0.485326,,,5.9104652,88.27362,0.28560033
