dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_66.png,39.44627,0.9303461,0.9672506,0.955934,0.549269,,0.052624553,0.045738928,0.8440789,,,8.603664,35.744812,0.4241667
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_67.png,35.043644,0.8689028,0.93745357,0.92601424,0.46796507,,0.093085095,0.082221754,0.7535778,,,15.001135,34.75116,0.2950365
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_68.png,31.510403,0.80994576,0.90644825,0.89754516,0.38385108,,0.12507115,0.1118566,0.68585193,,,22.126305,35.266052,0.25944725
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_69.png,37.380325,0.9056126,0.955962,0.9447135,0.50064474,,0.0660227,0.058460794,0.8099503,,,11.341583,31.544128,0.34000307
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_70.png,31.985668,0.80507535,0.904707,0.8953773,0.3830542,,0.12581216,0.112298705,0.6716562,,,20.606842,36.2099,0.3245945
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_71.png,30.985727,0.7966275,0.90082276,0.89189476,0.36740726,,0.12887062,0.11582578,0.6592462,,,23.349264,35.753845,0.25583646
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_72.png,30.742435,0.7830776,0.89201576,0.88382006,0.35790297,,0.13531227,0.121631905,0.6382873,,,23.902454,34.74164,0.2392117
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_73.png,31.361559,0.8057618,0.903924,0.8916382,0.36950317,,0.12673244,0.1128119,0.6637636,,,22.039392,36.85492,0.22137403
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_74.png,30.163063,0.772255,0.88472885,0.8734388,0.33831877,,0.14363009,0.12812129,0.62509775,,,24.796522,36.642273,0.27725336
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_75.png,40.624275,0.9433332,0.9735011,0.9623957,0.55518824,,0.043718457,0.038402256,0.86613935,,,7.361823,32.033875,0.3307295
